Customer ID,Ticker,Transaction Date,Transaction Type,Quantity,Price
C001,AAPL,10/23/23,Buy,5,171.930069
C001,AAPL,8/23/24,Sell,1,226.5906982
C001,AAPL,7/7/23,Sell,1,189.2451935
C001,AAPL,6/15/23,Buy,3,184.6103363
C001,AAPL,6/18/24,Buy,5,213.8070068
C001,AAPL,12/11/23,Buy,5,192.238205
C001,AAPL,5/3/24,Buy,4,182.7188416
C001,AAPL,8/9/23,Buy,2,176.8491821
C001,AAPL,12/22/23,Buy,2,192.656189
C001,AAPL,6/12/23,Buy,26,182.4070587
C001,MSFT,12/11/23,Sell,1,369.2817383
C001,MSFT,3/21/23,Buy,2,270.5746765
C001,MSFT,5/12/23,Buy,3,305.3527222
C001,MSFT,6/17/24,Buy,1,447.5632935
C001,MSFT,11/13/24,Buy,3,425.2000122
C001,MSFT,2/22/24,Buy,4,410.1695251
C001,MSFT,6/23/23,Buy,2,331.8215027
C001,MSFT,8/15/23,Buy,33,318.7871094
C001,TSLA,6/14/24,Buy,1,178.0099945
C001,TSLA,2/9/24,Sell,1,193.5700073
C001,TSLA,11/6/23,Sell,1,219.2700043
C001,TSLA,9/28/23,Sell,1,246.3800049
C001,TSLA,1/24/23,Buy,1,143.8899994
C001,TSLA,6/27/23,Sell,1,250.2100067
C001,TSLA,6/12/23,Sell,1,249.8300018
C001,TSLA,9/27/24,Sell,1,260.4599915
C001,TSLA,10/25/23,Buy,1,212.4199982
C001,TSLA,3/15/24,Buy,18,163.5700073
C001,XOM,6/9/23,Buy,3,102.0698853
C001,XOM,10/18/24,Buy,4,119.0318985
C001,XOM,7/31/24,Buy,4,116.6840668
C001,XOM,6/24/24,Buy,2,112.2170334
C001,XOM,1/10/24,Sell,1,95.4345932
C001,XOM,4/5/24,Sell,3,118.4572296
C001,XOM,11/12/24,Sell,2,119.3691254
C001,XOM,11/7/24,Buy,4,120.1626129
C001,XOM,2/16/23,Buy,4,109.0504532
C001,XOM,1/11/23,Buy,35,104.1407547
C001,CVX,7/12/24,Sell,1,152.3141632
C001,CVX,5/22/23,Sell,1,143.2511902
C001,CVX,9/27/23,Sell,2,162.2747192
C001,CVX,6/12/23,Sell,3,147.8464355
C001,CVX,8/18/23,Sell,1,152.6543579
C001,CVX,9/5/24,Sell,3,139.506897
C001,CVX,3/31/23,Buy,2,151.8381348
C001,CVX,1/19/24,Buy,4,136.3652496
C001,CVX,4/14/23,Buy,3,160.4741821
C001,ENPH,11/15/24,Buy,5,83.83000183
C001,ENPH,11/10/24,Buy,10,130.6699982
C001,ENPH,6/18/24,Buy,10,119.0100021
C001,ENPH,7/5/24,Buy,20,97.13999939
C001,ENPH,11/22/23,Sell,3,100.1999969
C001,ENPH,7/20/23,Buy,10,175.9199982
C001,ENPH,4/27/23,Sell,3,164.1799927
C001,ENPH,10/19/23,Buy,5,115.9000015
C001,ENPH,7/17/24,Buy,5,111.1500015
C001,FSLR,4/4/24,Sell,2,171.4600067
C001,FSLR,3/8/24,Sell,1,161.3500061
C001,FSLR,6/4/24,Sell,1,266.1700134
C001,FSLR,9/15/23,Sell,2,174.0500031
C001,FSLR,2/7/24,Buy,2,145.4600067
C001,FSLR,5/19/23,Sell,1,203.5299988
